,sub,character
623,Category:Unidentified individuals,Pius Thicknesse's sycophants
624,Category:Unidentified individuals,Third semi-finalist of the 1379 duelling contest
625,Category:Unidentified individuals,Three Aurors who tried to arrest Rubeus Hagrid
626,Category:Unidentified individuals,Three wizards on broomsticks
627,Category:Unidentified individuals,Tobbs's second master
628,Category:Unidentified individuals,Trading Card Shop shopkeeper
629,Category:Unidentified individuals,Transylvanian farmer
630,Category:Unidentified individuals,Transylvanian Head of Magical Co-operation
631,Category:Unidentified individuals,Trolley Witch
632,Category:Unidentified individuals,Two little witches
633,Category:Unidentified individuals,Uagadou potions champion
634,Category:Unidentified individuals,Unidentified acolyte
635,Category:Unidentified individuals,Unidentified Acromantula Commander during Battle of Hogwarts
636,Category:Unidentified individuals,Unidentified Amulet-seller in Diagon Alley
637,Category:Unidentified individuals,Unidentified Australian wizard
638,Category:Unidentified individuals,Unidentified Azkaban escapee
639,Category:Unidentified individuals,Unidentified balding British Ministry of Magic employee
640,Category:Unidentified individuals,Unidentified Ballycastle Bats Chaser
641,Category:Unidentified individuals,Unidentified Beauxbatons students
642,Category:Unidentified individuals,Unidentified black wizard during the Battle of Hogwarts
643,Category:Unidentified individuals,Unidentified blond twin boys at Platform Nine and Three-Quarters
644,Category:Unidentified individuals,Unidentified broom flyer
645,Category:Unidentified individuals,Unidentified brown-coloured Hippogriff
646,Category:Unidentified individuals,Unidentified bushily-whiskered British Ministry of Magic employee
647,Category:Unidentified individuals,Unidentified bushy-haired muttering wizard
648,Category:Unidentified individuals,Unidentified Canadian Seer
649,Category:Character stubs,Omar Abasi
650,Category:Character stubs,Fatima Al-Eryani
651,Category:Character stubs,Badeea Ali
652,Category:Character stubs,Anabelle
653,Category:Character stubs,Adam Arterius
654,Category:Character stubs,Duncan Ashe
655,Category:Character stubs,Edwin Avarus
656,Category:Character stubs,Ernie Azan
657,Category:Character stubs,Leopold Babcocke
658,Category:Character stubs,San Bakar
659,Category:Character stubs,Mildred Banks
660,Category:Character stubs,Evangeline Bardsley
661,Category:Character stubs,Bardolph Beaumont
662,Category:Character stubs,Claire Beaumont
663,Category:Character stubs,Archie Bickle
664,Category:Character stubs,Johanna Bickle
665,Category:Character stubs,Johanna Bickle's husband
666,Category:Character stubs,Bilm
667,Category:Character stubs,Bilton Bilmes
668,Category:Character stubs,Biscuit (Mooncalf)
669,Category:Character stubs,Cressida Blume
670,Category:Character stubs,Effie Bones
671,Category:Character stubs,Lethia Burbley
672,Category:Character stubs,Howard Chalk
673,Category:Character stubs,Chauncy
674,Category:Character stubs,Chauncey Clearwater
675,Category:Character stubs,Eddie Cleaver
676,Category:Character stubs,Carlos Clodoaldo
677,Category:Character stubs,Jemima Collins
678,Category:Character stubs,Ben Copper
679,Category:Character stubs,Hazel Cordon
680,Category:Character stubs,Samantha Dale
681,Category:Character stubs,Deek
682,Category:Character stubs,Dorran
683,Category:Character stubs,Mortimer Dreadnaught
684,Category:Character stubs,Kirley Duke
685,Category:Character stubs,Albus Dumbledore's great-great-grandfather
686,Category:Character stubs,Davet Dumont
687,Category:Character stubs,Edith
688,Category:Character stubs,Elek
689,Category:Character stubs,Kevin Farrell
690,Category:Character stubs,Fastidio
691,Category:Character stubs,Addison Fawley
692,Category:Character stubs,Eustace Fawley's uncle
693,Category:Character stubs,Grim Fawley
694,Category:Character stubs,Melody Fawley
695,Category:Character stubs,Penelope Fawley
696,Category:Character stubs,Eleazar Fig
697,Category:Character stubs,Filk
698,Category:Character stubs,Henrietta Fischer
699,Category:Character stubs,Mellona Flume
700,Category:Character stubs,Crescent Flump
701,Category:Character stubs,Dietrich Frenzen
702,Category:Character stubs,Colby Frey
703,Category:Character stubs,Fischer Frey
704,Category:Character stubs,Gimkey
705,Category:Character stubs,Annalena Gleam
706,Category:Character stubs,Ananya Gopal
707,Category:Character stubs,Gregory Goyle's mother
708,Category:Character stubs,Beatrice Green
709,Category:Character stubs,Aquila Greengrass
710,Category:Character stubs,Cereus Greengrass
711,Category:Character stubs,Gareth Greengrass
712,Category:Character stubs,Wilda Griffiths
713,Category:Character stubs,Coeus Grimshaw
714,Category:Character stubs,Vic Groundswell
715,Category:Character stubs,Gryffindor Lad
716,Category:Character stubs,Catrin Haggarty
717,Category:Character stubs,Theophilus Harlow
718,Category:Character stubs,Cillian Hawksworth
719,Category:Character stubs,Helmut
720,Category:Character stubs,Susanna Hesleden's mother
721,Category:Character stubs,Jenna Hexsmith
722,Category:Character stubs,Augustus Hill
723,Category:Character stubs,Hogsmeade town crier
724,Category:Character stubs,Ruby Honeysuckle
725,Category:Character stubs,Amos Hopkins
726,Category:Character stubs,Horst
727,Category:Character stubs,Cyfrin Hughes
728,Category:Character stubs,Betty Huxley
729,Category:Character stubs,Jacob (Hogwarts student)
730,Category:Character stubs,Hector Jenkins
731,Category:Character stubs,Roland Kegg
732,Category:Character stubs,Rowan Khanna
733,Category:Character stubs,Krafty
734,Category:Character stubs,Lucy Lanyon
735,Category:Character stubs,Ernie Lark
736,Category:Character stubs,Andrew Larson
737,Category:Character stubs,Fatimah Lawang
738,Category:Character stubs,Leaky Cauldron wizard from Belgium
739,Category:Character stubs,Qui LeBlanc's father
740,Category:Character stubs,Qui LeBlanc's mother
741,Category:Character stubs,Lodgok
742,Category:Character stubs,Harfang Longbottom
743,Category:Character stubs,Lachlan MacKenzie
744,Category:Character stubs,Alasdair Maddock
745,Category:Character stubs,Malcolm
746,Category:Character stubs,Man who gave Mr Roberts Galleons
747,Category:Character stubs,Cassandra Mason
748,Category:Character stubs,Mazoni
749,Category:Character stubs,Violet McDowell
750,Category:Character stubs,Dotty McNiven
751,Category:Character stubs,Murphy McNully
752,Category:Character stubs,Gregor McQueen
753,Category:Character stubs,Titus Mitcham
754,Category:Character stubs,Gladwin Moon
755,Category:Character stubs,Iona Morgan
756,Category:Character stubs,Isidora Morganach's brother
757,Category:Character stubs,Marcus Morhaven
758,Category:Character stubs,Muggle at Circus
759,Category:Character stubs,Bella Navarro
760,Category:Character stubs,Bernard Ndiaye's daughters
761,Category:Character stubs,Zenobia Noke
762,Category:Character stubs,Nonsuch
763,Category:Character stubs,Eric Northcott
764,Category:Character stubs,Norwegian Minister for Magic in 1932
765,Category:Character stubs,Agnes Nutt
766,Category:Character stubs,Medb O'Sullivan
767,Category:Character stubs,Adelaide Oakes
768,Category:Character stubs,Adelaide Oakes's father
769,Category:Character stubs,Adelaide Oakes's mother
770,Category:Character stubs,Nellie Oggspire
771,Category:Character stubs,Erika Ostensen
772,Category:Character stubs,Padgett family
773,Category:Character stubs,Daniel Page
774,Category:Character stubs,Kaleena Page
775,Category:Character stubs,Elric Parpidum
776,Category:Character stubs,Morton Parpidum
777,Category:Character stubs,Ellie Peck
778,Category:Character stubs,Mahendra Pehlwaan
779,Category:Character stubs,Hugo Pepper
780,Category:Character stubs,Janice Pepper
781,Category:Character stubs,Peregrine
782,Category:Character stubs,Peter Pettigrew's mother
783,Category:Character stubs,Louka Phyllian
784,Category:Character stubs,Constance Pickering
785,Category:Character stubs,Badger Picklish III
786,Category:Character stubs,Grace Pinch-Smedley
787,Category:Character stubs,Parry Pippin
788,Category:Character stubs,Pitts
789,Category:Character stubs,Piers Polkiss
790,Category:Character stubs,Petrova Porskoff
791,Category:Character stubs,Postmaster
792,Category:Character stubs,Fleamont Potter's mother
793,Category:Character stubs,Rohan Prakash
794,Category:Character stubs,Pronk
795,Category:Character stubs,Adrian Pucey
796,Category:Character stubs,Daisy Rabe
797,Category:Character stubs,Prudence Rabnott
798,Category:Character stubs,Percival Rackham
799,Category:Character stubs,Patricia Rakepick
800,Category:Character stubs,Erika Rath's friend (I)
801,Category:Character stubs,Erika Rath's friend (II)
802,Category:Character stubs,Ravenclaw Bust
803,Category:Character stubs,Redding family
804,Category:Character stubs,Olivia Redding
805,Category:Character stubs,Patrick Redding
806,Category:Character stubs,Retch
807,Category:Character stubs,Alexandra Ricketts
808,Category:Character stubs,Riggin
809,Category:Character stubs,Rooky
810,Category:Character stubs,Barry Ryan
811,Category:Character stubs,Sirona Ryan
812,Category:Character stubs,Gareth Seaford
813,Category:Character stubs,Jalal Sehmi
814,Category:Character stubs,Shrunken heads in the Three Broomsticks Inn
815,Category:Character stubs,Ruth Singer
816,Category:Character stubs,Jack Sloper
817,Category:Character stubs,Snaglok
818,Category:Character stubs,Calliope Snelling
819,Category:Character stubs,Scarlett Sparks
820,Category:Character stubs,Wigot Spitchwick
821,Category:Character stubs,Aidan Sprottle
822,Category:Character stubs,Dorothy Sprottle
823,Category:Character stubs,Gobban Stoneham
824,Category:Character stubs,Perdita Strix
825,Category:Character stubs,Sienna Strong
826,Category:Character stubs,Angus Sweeting
827,Category:Character stubs,Poppy Sweeting's grandmother
828,Category:Character stubs,Violet Sweeting
829,Category:Character stubs,Inari Takahashi
830,Category:Character stubs,Jack Taylor
831,Category:Character stubs,Robyn Thistlethwaite
832,Category:Character stubs,Helen Thistlewood
833,Category:Character stubs,Tempeste Thorne
834,Category:Character stubs,Torvus
835,Category:Character stubs,Ailsa Travers
836,Category:Character stubs,Thaddeus Travers
837,Category:Character stubs,Nora Treadwell
838,Category:Character stubs,Priya Treadwell
839,Category:Character stubs,Dunstan Trinity
840,Category:Character stubs,Jasper Trout
841,Category:Character stubs,Turner
842,Category:Character stubs,Lottie Turner
843,Category:Character stubs,Unidentified Chaser (I)
844,Category:Character stubs,Unidentified Chaser (II)
845,Category:Character stubs,Unidentified female Death Eater at Malfoy Manor (I)
846,Category:Character stubs,Unidentified Hit Wizard
847,Category:Character stubs,Unidentified Keeper (II)
848,Category:Character stubs,Unidentified king
845,Added,Cho Chang
846,added,Cedric Diggory
847,added,Draco Malfoy
848,added,Viktor Krum
849,added,Hagrid
850,added,Draco Malfoy
851,added,Tom Riddle
852,added,Sirius Black
853,added,Moody
854,added,Karkaroff
855,added,Fleur Delacour
856,added,Remus Lupin
857,added,Ginny Weasley
